Name,Program Link,Requirement Link,Deadline,GRE
North Carolina State University,https://statistics.sciences.ncsu.edu/graduate/online-programs/how-to-apply/,https://statistics.sciences.ncsu.edu/graduate/application-process/,Complete applications received by December 15 will receive highest priority for admission and financial aid. ,We do not consider any GRE test scores when reviewing applications for admission to our programs.
University of North Carolina--Chapel Hill,https://stor.unc.edu/graduate/admissions/,https://stor.unc.edu/graduate/admissions/,"Fall	December 13, 2022",GRE not required
Cornell University,https://stat.cornell.edu/academics/phd/how-apply,https://stat.cornell.edu/academics/phd/faq,Applications for the PhD program are due by January 1st for admission in the following Fall term; Spring term admission is not permitted.,"For future admission cycles, GRE scores will be optional for applicants to the Statistics PhD program."
Texas A&M University--College Station,https://stat.tamu.edu/phd-statistics/stat-phd-admissions/,https://stat.tamu.edu/phd-statistics/stat-phd-admissions/,"Application Deadline for Fall 2023: January 10, 2023",GRE scores: GRE scores are not required for applications submitted for Fall 2023 admissions.
University of California--Davis,https://www.usnews.com/best-colleges/university-of-california-davis-1313/applying,https://statistics.ucdavis.edu/grad/admissions,"January 15th: the final deadline for all PhD application materials, the deadline for fellowship applications, and the priority deadline for MS applications.",GRE - GRE scores are required for Fall 2023 admission
University of Minnesota--Twin Cities,https://cla.umn.edu/statistics/graduate/how-apply,https://cla.umn.edu/statistics/graduate/how-apply,"The priority deadline for applications is December 15, 2022, although applications received after December 15 will be reviewed on a space available basis. The final application deadline is March 15, 2023.",GRE scores are not required and there is no advantage to submitting them.
University of Wisconsin--Madison,https://stat.wisc.edu/graduate-admissions/phd-program/,https://stat.wisc.edu/graduate-admissions/phd-program/,"The application deadline for Fall 2023 admission is December 1, 2022.","Due to COVID-19, there have been challenges for students attempting to take the GRE. For students applying for Fall 2023, the GRE requirement is optional. Regardless of whether GRE scores are submitted, all applications will be held in equal regard."
Yale University,https://statistics.yale.edu/admissions,https://statistics.yale.edu/admissions,"December 15, 2022
Application deadline for: ","Scores from the GRE General Test are now optional.  A GRE Subject Test is also optional, although the Mathematics Subject Test is not recommended for students whose undergraduate major was not Mathematics. "
Iowa State University,https://www.stat.iastate.edu/doctor-philosophy-phd,https://www.grad-college.iastate.edu/academics/programs/apresults.php?id=103,"MS & PhD: January 15 for fall term, for priority consideration for assistantships. Spring admission is rare and on a case-by-case basis. You should contact our DOGE if you are interested in joining the program in the spring semester.",Program Requires GRE: No
Pennsylvania State University,https://science.psu.edu/stat/graduate-programs/how-to-apply,https://science.psu.edu/stat/graduate-programs/how-to-apply,Applications are due by January 7th each year for the Doctorate in Statistics.,The GRE requirement will be waived for those submitting an application to MAS program to start in the Summer 2022 or Fall 2022 semesters.
University of California--Los Angeles,http://statistics.ucla.edu/graduate/applying-to-the-graduate-program/,http://statistics.ucla.edu/graduate/applying-to-the-graduate-program/,"Ph.D. and M.S. students are admitted only in the Fall. Deadlines to apply for entry into the next Fall term are December 10, for all Ph.D. applicants and February 1, for all M.S. applicants.",GRE – The Official General Test from ETS.
Purdue University--West Lafayette,https://www.stat.purdue.edu/academic_programs/graduate/gradAdmission.html,https://www.stat.purdue.edu/academic_programs/graduate/gradAdmission.html,"Applications for admission must be complete by December 31, 2022 for entry in the Fall 2023 semester. ",Applicants are encouraged but not required to take the Graduate Record Examination (GRE).
University of Illinois--Urbana-Champaign,https://stat.illinois.edu/admissions/prospective-graduate-students/application-requirements,https://stat.illinois.edu/admissions/prospective-graduate-students/application-requirements,PhD Fall Admission - Dec 15 (Fall admit only),The GRE is optional for admission consideration for the Spring 2023 and Fall 2023 admission cycles. This waiver applies to both the PhD and MS programs. 
Ohio State University,https://stat.osu.edu/graduates/prospective-students/admission,https://stat.osu.edu/graduates/prospective-students/admission,"Autumn 2023 Application Opens: September 1, 2022

Autumn 2023 Application Priority Deadline: December 15, 2022*

Autumn 2023 Application Final Deadline: February 1, 2023

*Complete applications received by the priority deadline December 15, 2022 will receive full consideration for funding, although applications received after December 15 will be reviewed based on space availability. ",GRE General Test (no minimum score requirement)
Rutgers University--New Brunswick,https://statistics.rutgers.edu/graduate-academics/phd-degree-program,https://stat.rutgers.edu/admissions/application-procedure,"Fall 2023	Jan 10, 2023	Jan 10, 2023",Required
University of Florida,https://stat.ufl.edu/academics/graduate/applying-to-the-graduate-program/,https://stat.ufl.edu/academics/graduate/applying-to-the-graduate-program/,"The application deadline for Fall 2023 is January 10, 2023.",Report your official GRE and TOEFL scores (if applicable) electronically through ETS using school code 5812. A department code is not necessary.  GRE scores are valid for 5 years only. **Please note that GRE scores will be required for Fall 2023 admission at this time.**
University of California--Irvine,https://stat.oregonstate.edu/content/applying-admission,https://www.stat.uci.edu/m-s-ph-d-in-statistics/,Applicants desiring financial aid and a timely decision should have completed the application by January 15 for admission the following Fall.,https://stat.oregonstate.edu/content/applying-admission
University of Texas--Austin,https://stat.utexas.edu/academics/phd-statistics/phd-statistics-admissions-process,https://stat.utexas.edu/academics/phd-statistics/phd-statistics-admissions-process,Application deadline for all materials: December 15,GRE Required? Yes
Rice University,https://statistics.rice.edu/academics/graduate/graduate-admissions,https://statistics.rice.edu/sites/g/files/bxs3561/files/2019-07/Rice_University_Horizontal_Blue.svg?sa=X&ved=2ahUKEwjxzMf03ZL7AhVvmmoFHbHoBK4Q_B16BAgGEAI,"The priority deadline that begins reviews is December 1, 2022. The final submission deadline is December 31, 2022.",GRE score report 
Colorado State University,https://statistics.colostate.edu/msphd-programs-in-statistics/,https://statistics.colostate.edu/msphd-programs-in-statistics/,The application deadline for the M.S./Ph.D. program in Statistics is January 15th.,"Students are required to supply all college transcripts, GRE scores, three letters of recommendation, resume, and a statement of purpose. International students must also supply a test of English mastery such as the TOEFL. For assistance, or questions in regards to your  TOEFL or GRE scores please email the graduate school at gradschool@colostate.edu"
Florida State University,https://stat.fsu.edu/graduate-program/admissions,https://stat.fsu.edu/graduate-program/admissions,"Financial Aid/Assistantship consideration for all students: Preferred Deadline is  before the end of February
Spring:  November 1st
Fall:  July 1st","**NOTE:  The GRE IS REQUIRED for Ph.D. applicants, however, FSU is waiving the GRE for MS  applicants for 2022"
Michigan State University,https://stt.natsci.msu.edu/graduate-program/graduate-application/future-msu-graduate-student-graduate-admission-procedure/,https://grad.msu.edu/apply/phddata,"The application for admission, application fee, and all required supporting documents should be received no later than February 1, 2021.
For full consideration of fellowship opportunities, applications should be received by December 1, 2020.",GRE – The GRE test is required for PhD candidates. Sub tests are not required. Test Scores are submitted to the Michigan State University Graduate Admissions Office by the Educational Testing Service. The Institutional Code for MSU is 1465. No department code is necessary.
University of Connecticut,https://grad.uconn.edu/admissions/apply-to-uconn/,https://grad.uconn.edu/admissions/requirements/,"Fall 2023
First day to submit an application	Monday, September 12th, 2022
Last day to submit an application & pay fee:	Wednesday, July 26th, 2023
Deadline to reply to an offer of admission:	Friday, July 28th, 2023","The program you are applying to may require the GRE, specific GRE Subject Tests, or the GMAT. Please contact your intended program to confirm which test scores are required."
University of Iowa,https://informatics.grad.uiowa.edu/prospective-students/phd-and-ms-admission,https://stat.uiowa.edu/graduate-programs-faq,We accept applicants for the fall semester only.  The application deadline is January 1st.,GRE General Test scores GRE General Test scores from the Educational Testing Service (the University's Institutional code is 6681) are now optional for applicants. 
University of Georgia,https://www.stat.uga.edu/phd-statistics,https://www.stat.uga.edu/prospective-graduate-students-0,"DOMESTIC APPLICANTS
Fall Semester – July 1
Spring Semester – November 15
May and Extended Summer Session – April 1
Summer Semester – May 1
INTERNATIONAL APPLICANTS
Fall Semester – April 15
Spring Semester – October 15
Summer Semester – February 15",
University of Pittsburgh,https://www.stat.pitt.edu/graduate/admissions,https://www.stat.pitt.edu/graduate/admissions,The GRE requirement has been removed.,
New York University,https://www.stern.nyu.edu/programs-admissions/phd/academics/fields-study/specialization-in-statistics,https://www.stern.nyu.edu/programs-admissions/phd/admissions/how-to-apply,"All application materials (including test scores and letters of recommendation) must be submitted by our December 31 deadline, 11:59 PM Eastern Time. No exceptions to this deadline will be granted. ",All applicants are required to take either the GRE or GMAT and must submit test scores electronically. We do not accept hard copy test scores. No exceptions will be granted. GRE and GMAT scores are valid for five years from the date taken. Expired test scores will not be considered. Please note we do not accept GRE subject tests.
Northwestern University,https://statistics.northwestern.edu/graduate/phd-program/how-to-apply.html,https://statistics.northwestern.edu/graduate/phd-program/how-to-apply.html,"Application Deadline: Applications (including supporting materials) must be received by January 4, 2023.","Candidates must have taken the GRE, although no set minimum is required for application consideration."
University of Missouri--Columbia,https://stat.missouri.edu/grad/admissions,https://stat.missouri.edu/grad/admissions,"To assure full consideration for fellowships and financial assistance, applications for the spring semester are due October 15 and applications for the fall semester are due January 15.
The deadline for applied track master’s students is October 15 for spring semester and March 15 for fall semester.","GRE: 60th percentile and above (quantitative), 50th percentile and above (verbal)"
Virginia Tech,https://www.stat.vt.edu/academics/graduate/graduate-admissions.html,https://www.stat.vt.edu/academics/graduate/graduate-admissions.html,he deadline for graduate student applications is January 15th for admissions in August.,"While we are not requiring the GRE for Fall 2023 applications, they are recommended."
Boston University,https://www.bu.edu/stat/graduate-program-information/admissions/,https://www.bu.edu/stat/graduate-program-information/admissions/,"Fall semester admission for MSSP: March 15
Fall semester admission for MA: March 15
Fall semester admission for PhD: January 6
Spring semester admission: September 30*",NEW UPDATE FOR FALL 2022 ADMISSIONS: The GRE will not be required for the MA and PhD program.  
George Washington University,https://statistics.columbian.gwu.edu/phd-statistics,https://statistics.columbian.gwu.edu/phd-statistics,"Application Deadline: January 15, 2022","GRE general test (institutional code 5246). May be waived for applicants who hold a JD, MD, or PhD on a case-by-case basis."
University of California--San Diego,https://ir.ucsd.edu/grad/index.html,https://math.ucsd.edu/students/graduate/how-to-apply,"Degree Program	Application Deadline
Ph.D. in Mathematics	December 7, 2022","The following GRE Tests are required for all applicants:

GRE General Test
You are not required to submit a GRE General test score. If you are unable to provide the GRE Mathematics Subject test score, it is strongly recommended that you submit a GRE General test score.

GRE Math Subject Test
It is strongly recommended that you submit a GRE Mathematics Subject test score. Applicants who do not submit such a score will still be considered, and may be accepted if there is solid evidence of the skills that are included in the GRE Mathematics Subject test. In case you are unable to submit the GRE Mathematics Subject test results, please include a short explanation in your application.

There is no required minimum score for the GRE General Test.

We recommend that the GRE General or Subject Test be taken no later than October in order for scores to be reviewed by the Admissions Committee.  
"
Temple University,https://www.temple.edu/academics/degree-programs/statistics-phd-bu-stat-phd,https://www.temple.edu/academics/degree-programs/statistics-phd-bu-stat-phd/fox-statistics-phd-admissions,"Fox has a rolling admissions process, meaning that applications are reviewed—and decisions made—as submissions are received. The admissions team encourages you to apply as early as possible within the admissions cycle. Applications may be considered after the deadline on a case-by-case basis.","The GMAT or GRE is required. Official scores must be reported from a GMAT or GRE test taken within the last five years. Student scores must be in the 90th percentile or above on the GMAT. For applicants whose native language is not English, the TOEFL, IELTS or PTE Academic exam is required."
University of California--Riverside,https://statistics.ucr.edu/graduate-program,https://statistics.ucr.edu/graduate-program/prospective-students,"Ph.D. Applicants :

Priority Application Deadline: December 1st
Last chance to apply: By January 5th",Each applicant is required to submit an official GRE score directly from ETS (scores cannot be older than 5 years).  GRE Subject test is not required.  Applicants applying for fellowship awards are expected to have a higher score than the minimum 1100 (300) required score (verbal + quantitative combined).  UCR Institution code is: R4839 and Statistics Department code is 0705.
University of California--Santa Barbara,https://www.pstat.ucsb.edu/graduate/prospective,https://www.pstat.ucsb.edu/graduate/perspective/application/faq,"PhD Application
Priority Funding (Fall quarter only): December 15
Final Deadline (Fall quarter only): February 1","Due to the COVID-19 pandemic, we will NOT require a GRE for applicants applying to the MA or PhD program in the Fall of 2022 (i.e. applying to be part of the entering class of Fall 2023)."
University of California--Santa Cruz,https://grad.soe.ucsc.edu/stats,https://grad.soe.ucsc.edu/stats,"PhD Application Deadline:  December 15, 2022
MS Application Deadline:  January 10, 2023","The GRE is no longer required Statistical Science MS and PhD applications. You are welcome to submit your official scores, but please note the inclusion of your official GRE score will not be a deciding factor"
University of Virginia,https://statistics.as.virginia.edu/sites/statistics.as.virginia.edu/files/Dear%20Potential%20Applicant%20to%20UVA%20Statistics%20Graduate%20Programs.pdf,https://statistics.as.virginia.edu/admissions,The application deadline is January 15,"Yes, GRE scores are required for admission.  "
Arizona State University,https://math.asu.edu/admission/graduate-admission/how-apply,https://math.asu.edu/admission/graduate-admission/how-apply,"PhD application deadline is December 10, if you want to compete for a teaching assistant position.__",The School of Mathematical and Statistical Sciences no longer requires applicants to take the GRE. Although this change may not be reflected on all of ASU’s web pages it is effective immediately.
University of Rochester,https://www.urmc.rochester.edu/education/graduate/phd/statistics/about-the-program/faq.aspx,https://www.urmc.rochester.edu/education/graduate/phd/statistics/apply.aspx,,
University of Illinois--Chicago,https://mscs.uic.edu/graduate/admissions-and-financial-aid/,https://stat.uchicago.edu/admissions/admissions-faqs/,,
University of Massachusetts--Amherst,https://www.petersons.com/graduate-schools/university-of-massachusetts-amherst-college-of-natural-sciences-department-of-mathematics-and-statistics-000_10050705.aspx,https://www.math.umass.edu/graduate/how-to-apply,,
University of South Carolina,https://sc.edu/study/colleges_schools/graduate_school/apply/degree_programs-application-requirements/statistics-phd/index.php,https://sc.edu/study/colleges_schools/artsandsciences/statistics/apply/index.php,,
George Mason University,https://statistics.gmu.edu/academics/phd-statistical-science,https://statistics.gmu.edu/academics/phd-statistical-science,,
Indiana University--Bloomington,https://stat.indiana.edu/graduates/degrees/phd-statistical-science.html,https://stat.indiana.edu/graduates/degrees/phd-statistical-science.html,,
Oregon State University,https://stat.oregonstate.edu/content/graduate-major-programs,https://stat.oregonstate.edu/content/applying-admission,,
SMU,https://www.smu.edu/Moody/Prospective-Students/Application-Deadlines/DedmanAppDeadlines,https://www.smu.edu/Dedman/Academics/Departments/Economics/Graduate/PhD/Apply,,
University of Arizona,https://statistics.arizona.edu/admissions,https://grad.arizona.edu/catalog/programinfo/STATPHD,,
University of Maryland--Baltimore County,https://gradschool.umbc.edu/admissions/programs/stat/,https://gradschool.umbc.edu/admissions/programs/stat/,,
Washington University in St. Louis,https://math.wustl.edu/graduate,https://math.wustl.edu/graduate-application-information,,
Clemson University,https://www.clemson.edu/science/academics/departments/mathstat/academics/grad-apply.html,https://www.clemson.edu/science/academics/departments/mathstat/academics/grad-apply.html,,
University of Notre Dame,https://acms.nd.edu/graduate/phd-programs/,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-phd---doctoral/,,
Case Western Reserve University,https://mathstats.case.edu/graduate-programs/phd-in-statistics/,https://mathstats.case.edu/graduate-programs__trashed/admission/,,
University of Cincinnati,https://www.artsci.uc.edu/departments/math/grad/phd-stats.html,https://www.artsci.uc.edu/departments/math/grad/phd-stats.html,,
University of Kentucky,https://stat.as.uky.edu/statistics-admissions,https://stat.as.uky.edu/statistics-admissions,,
Baylor University,https://www.baylor.edu/math/index.php?id=54116,https://statistics.artsandsciences.baylor.edu/graduate/how-apply,,
Kansas State University,https://www.k-state.edu/stats/academics/gradstudents/AdmitInternational.html,https://www.k-state.edu/stats/academics/gradstudents/AdmitInternational.html,,
University of Nebraska,https://statistics.unl.edu/phd-program,https://graduate.unl.edu/academics/programs/STAT-PHD,,
University of Texas--Dallas,https://www.utdallas.edu/fact-sheets/nsm/phd-statistics/,https://graduate-admissions.utdallas.edu/apply-to-ut-dallas/documents-and-test-scores/,,
University of Colorado--Denver,https://clas.ucdenver.edu/mathematical-and-statistical-sciences/admissions-phd-applied-mathematics,https://clas.ucdenver.edu/mathematical-and-statistical-sciences/admissions-phd-applied-mathematics,,
University of North Carolina--Charlotte,https://math.charlotte.edu/graduate-program-information/admissions,https://math.charlotte.edu/graduate-program-information/admissions/faqs-about-math-graduate-programs-admission,,
Binghamton University--SUNY,https://www.binghamton.edu/math/graduate/mathematical-sciences.html,https://www.binghamton.edu/apps/academics/program/gd/statistics,,
Bowling Green State University,https://www.bgsu.edu/arts-and-sciences/mathematics-and-statistics/graduate-programs/phd-programs.html,https://www.bgsu.edu/arts-and-sciences/mathematics-and-statistics/graduate-programs/apply.html,,
Lehigh University,https://math.cas.lehigh.edu/graduate-programs-mathematics,https://math.cas.lehigh.edu/graduate-programs-mathematics,,
University of Central Florida,https://graduate.ucf.edu/application-deadlines-and-requirements/,https://sciences.ucf.edu/statistics/graduate/admissions/,,
University of New Mexico,https://math.unm.edu/graduate/graduate-studies-statistics,https://math.unm.edu/graduate/graduate-program-applications,,
Washington State University,https://gradschool.wsu.edu/degrees/factsheet/doctor-philosophy-statistical-science/,https://www.math.wsu.edu/graduatestudies/application-checklist.php,,
Worcester Polytechnic Institute,https://www.wpi.edu/academics/study/phd-statistics,https://www.wpi.edu/admissions/graduate/how-to-apply,,
Auburn University,https://www.auburn.edu/cosam/departments/biology/grad/application/phd_ms_thesis/index.htm,https://www.auburn.edu/cosam/departments/math/students/grad/prospective/index.htm,,
University of Texas--San Antonio,https://business.utsa.edu/programs/phd-applied-statistics/,https://future.utsa.edu/programs/doctoral/applied-statistics/,,
Utah State University,https://www.usu.edu/degrees/index.cfm?id=48,https://www.usu.edu/math/graduates/apply,,
Montana State University,https://math.montana.edu/grad_students/phd_stats.html,https://math.montana.edu/grad_students/graduateprogramapplication.html,,
New Jersey Institute of Technology,https://www.usnews.com/best-colleges/njit-2621/applying,https://www.njit.edu/admissions/phd-programs,,
Northern Illinois University,https://www.niu.edu/grad/academics/masters/statistics.shtml,https://www.niu.edu/grad/admissions/index.shtml,,
University of Alabama,https://manderson.culverhouse.ua.edu/ph-d-programs/applied-statistics-phd/,https://graduate.ua.edu/prospective-students/apply-now/supporting-documents/test-score-requirements/,,
Marquette University,https://www.marquette.edu/grad/programs-computational-mathematical-statistical-sciences.php,https://www.marquette.edu/grad/future-apply.php,,
Oklahoma State University,https://go.okstate.edu/graduate-academics/programs/doctoral/statistics-phd.html,https://go.okstate.edu/graduate-academics/programs/doctoral/statistics-phd.html,,
Portland State University,https://www.pdx.edu/math/graduate-application-instructions,https://www.pdx.edu/math/graduate-application-instructions,,
University of Arkansas,https://graduate-and-international.uark.edu/graduate/future-students/applying/application-deadlines.php,https://esrm.uark.edu/phd/admission-requirements.php,,
University of North Carolina--Greensboro,https://mathstats.uncg.edu/graduate/apply/,https://mathstats.uncg.edu/graduate/apply/,,
University of South Florida,https://www.petersons.com/graduate-schools/university-of-south-florida-college-of-arts-and-sciences-department-of-mathematics-and-statistics-000_10036503.aspx,https://www.usf.edu/admissions/graduate/admission-information/academic-requirements.aspx,,
Central Michigan University,https://www.cmich.edu/academics/colleges/college-science-engineering/departments-schools/statistics-actuarial-and-data-sciences/graduate-programs,https://www.cmich.edu/program/statistics-analytics-phd,,
Michigan Technological University,https://www.mtu.edu/gradschool/programs/degrees/statistics/,https://www.mtu.edu/gradschool/programs/degrees/statistics/,,
Old Dominion University,https://www.odu.edu/business/departments/sps/academics/paup/phd-admission,https://www.odu.edu/admission/graduate/requirements,,
University of Nevada--Reno,https://statistics.colostate.edu/applying-to-the-ms-phd-program-in-statistics-beta/,https://www.unr.edu/math/graduate/phd-in-statistics-and-data-science-handbook/application-process,,
South Dakota State University,https://www.sdstate.edu/mathematics-statistics/computational-science-and-statistics-phd,https://www.sdstate.edu/mathematics-statistics/graduate-programs,,
University of Toledo,https://www.utoledo.edu/nsm/mathstats/application-procedure.html,https://www.utoledo.edu/nsm/mathstats/application-procedure.html,,
Western Michigan University,https://wmich.edu/statistics/phd,https://wmich.edu/statistics/phd,,
North Dakota State University,https://www.sdstate.edu/mathematics-statistics/computational-science-and-statistics-phd,https://catalog.ndsu.edu/programs-study/graduate/statistics/,,
Oakland University,https://oakland.edu/math/graduate-programs/ph-d-program/,https://oakland.edu/math/graduate-programs/ph-d-program/,,
University of Northern Colorado,https://www.unco.edu/graduate-school/degrees-and-programs/doctorate-programs/applied-statistics-and-research-methods-phd.aspx,https://www.unco.edu/graduate-school/degrees-and-programs/doctorate-programs/applied-statistics-and-research-methods-phd.aspx,,
Stanford University,https://statistics.stanford.edu/admissions/statistics-phd-admissions/phd-admissions-requirements-and-procedures,https://statistics.stanford.edu/admissions/statistics-phd-admissions/phd-admissions-requirements-and-procedures,,
University of California--Berkeley,https://grad.berkeley.edu/admissions/choosing-your-program/list/,https://statistics.berkeley.edu/academics/phd/requirements,,
Harvard University,https://statistics.fas.harvard.edu/phd-admissions-faq,https://statistics.fas.harvard.edu/phd-admissions-faq,,
University of Chicago,https://stat.uchicago.edu/admissions/,https://stat.uchicago.edu/admissions/admissions-faqs/,,
Carnegie Mellon University,https://www.cmu.edu/dietrich/statistics-datascience/academics/msp/how-to-apply.html,https://www.cmu.edu/dietrich/statistics-datascience/academics/phd/how-to-apply.html,,
Columbia University,https://stat.columbia.edu/programs/ph-d-program/,https://stat.columbia.edu/programs/ph-d-program/,,
Duke University,https://stat.duke.edu/phd/prospective-students/how-to-apply,https://stat.duke.edu/phd/prospective-students/how-to-apply,,
University of Michigan--Ann Arbor,https://lsa.umich.edu/stats/phd-students/ProspectiveGraduateStudents/graduate-degree-application.html,https://lsa.umich.edu/stats/phd-students/ProspectiveGraduateStudents/graduate-degree-application.html,,
University of Pennsylvania,https://doctoral.wharton.upenn.edu/application-requirements/,https://doctoral.wharton.upenn.edu/application-requirements/,,
University of Washington,https://www.biostat.washington.edu/apply/dates,https://stat.uw.edu/academics/graduate/applying,,
North Carolina State University,https://statistics.sciences.ncsu.edu/graduate/online-programs/how-to-apply/,https://statistics.sciences.ncsu.edu/graduate/application-process/,,
University of North Carolina--Chapel Hill,https://stor.unc.edu/graduate/admissions/,https://stor.unc.edu/graduate/admissions/,,
Cornell University,https://stat.cornell.edu/academics/phd/how-apply,https://stat.cornell.edu/academics/phd/faq,,
Texas A&M University--College Station,https://stat.tamu.edu/phd-statistics/stat-phd-admissions/,https://stat.tamu.edu/phd-statistics/stat-phd-admissions/,,
University of California--Davis,https://www.usnews.com/best-colleges/university-of-california-davis-1313/applying,https://statistics.ucdavis.edu/grad/admissions,,
University of Minnesota--Twin Cities,https://cla.umn.edu/statistics/graduate/how-apply,https://cla.umn.edu/statistics/graduate/how-apply,,
University of Wisconsin--Madison,https://stat.wisc.edu/graduate-admissions/phd-program/,https://stat.wisc.edu/graduate-admissions/phd-program/,,
Yale University,https://statistics.yale.edu/admissions,https://statistics.yale.edu/admissions,,
Iowa State University,https://www.stat.iastate.edu/doctor-philosophy-phd,https://www.grad-college.iastate.edu/academics/programs/apresults.php?id=103,,
Pennsylvania State University,https://science.psu.edu/stat/graduate-programs/how-to-apply,https://science.psu.edu/stat/graduate-programs/how-to-apply,,
University of California--Los Angeles,http://statistics.ucla.edu/graduate/applying-to-the-graduate-program/,http://statistics.ucla.edu/graduate/applying-to-the-graduate-program/,,
Purdue University--West Lafayette,https://www.stat.purdue.edu/academic_programs/graduate/gradAdmission.html,https://www.stat.purdue.edu/academic_programs/graduate/gradAdmission.html,,
University of Illinois--Urbana-Champaign,https://stat.illinois.edu/admissions/prospective-graduate-students/application-requirements,https://stat.illinois.edu/admissions/prospective-graduate-students/application-requirements,,
Ohio State University,https://stat.osu.edu/graduates/prospective-students/admission,https://stat.osu.edu/graduates/prospective-students/admission,,
Rutgers University--New Brunswick,https://statistics.rutgers.edu/graduate-academics/phd-degree-program,https://stat.rutgers.edu/admissions/application-procedure,,
University of Florida,https://stat.ufl.edu/academics/graduate/applying-to-the-graduate-program/,https://stat.ufl.edu/academics/graduate/applying-to-the-graduate-program/,,
University of California--Irvine,https://stat.oregonstate.edu/content/applying-admission,https://www.stat.uci.edu/m-s-ph-d-in-statistics/,,
